Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,COST_daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
COST,2019-12-31,282.7376,0.0337681,0.00014253,-0.9248,-1.0525,0.1277,-1,-1,1,-52.2259,0,1.16054486,-1.1668,-1,-0.33501885,45.4854,0,-0.19771839,60.09,48.181,0.6294897,-0.09036945,0.49746895,-0.39965339,24.9455,0.00375619,14.2857,21.4286,0.142857,0.214286,-1,281.7758,283.1085,284.4413,2.6655,1.0,515276862.6654,0.00019333,283.3483348,283.7805728,280.63970978,282.31100464,1550700.0,0.0,0.0,-1.17181396,-0.00413363,0.13322838,82,,,,,,
COST,2020-01-02,282.3475,0.03166783,-0.00138163,-1.0947,-1.0609,-0.0338,-1,-1,-1,-144.3793,1,0.63827294,-1.4137,-1,0.17464809,32.2361,0,-0.41100816,51.4286,38.6681,0.53588735,-0.16841602,0.39596142,-0.24601416,25.8502,0.03499779,7.1429,14.2857,0.071429,0.142857,-1,279.7863,282.582,285.3776,5.5913,1.0,513785913.7275,-0.00290189,282.44542774,282.9448786,279.50629176,279.97692871,2103600.0,0.0,0.0,-2.33407593,-0.00826775,0.20637104,79,,,,,,
COST,2020-01-03,282.3341,0.03159568,-4.746e-05,-1.1969,-1.0881,-0.1088,-1,-1,-1,-190.0144,1,0.24016653,-1.6154,-1,0.12486072,34.5884,0,0.06800835,38.4954,28.6372,0.39612034,-0.33596741,0.28892657,-0.35027517,27.6418,0.06481488,0.0,7.1429,0.0,0.071429,-1,279.0731,281.8132,284.5534,5.4803,1.0,514449708.5511,0.0012903,278.59382205,281.33126086,277.90225887,280.20748901,1926000.0,0.0,0.0,0.2305603,0.0008235,0.18287649,75,,,,,,
COST,2020-01-06,282.1515,0.03061257,-0.00064717,-1.2572,-1.1219,-0.1353,-1,-1,-1,-181.1882,1,-0.04871289,-0.4401,-1,-2.67052943,35.521,0,0.02625489,32.359,29.7717,0.32980526,-0.18963503,0.30103227,0.03810666,29.6219,0.06684581,21.4286,100.0,0.214286,1.0,-1,278.577,281.3712,284.1654,5.5884,1.0,516704902.3748,0.00436457,279.07405893,280.53404185,277.22029568,280.28430176,2655100.0,0.0,0.0,0.07681274,0.00027413,0.2793285,68,,,,,,
COST,2020-01-07,281.8171,0.02881218,-0.00118659,-1.3254,-1.1626,-0.1627,-1,-1,-1,-155.162,1,-0.16773566,-1.2205,-1,0.63941008,32.2193,0,-0.10247585,32.8075,40.0135,0.33465213,0.01367065,0.41031753,0.25595861,31.4041,0.05675055,14.2857,92.8571,0.142857,0.928571,-1,278.8278,280.6429,282.4579,3.6301,1.0,518120124.2095,0.00273146,279.81368487,280.16906622,277.85425093,279.84249878,1963400.0,0.0,0.0,-0.44180298,-0.00157627,0.18782411,61,,,,,,
COST,2020-01-08,281.9497,0.02952609,0.0004703,-1.1077,-1.1516,0.044,-1,-1,1,-5.2792,0,-28.39119564,-0.1592,-1,-6.66645729,63.2352,0,0.49048473,42.6052,58.0304,0.44053429,0.22996489,0.60256711,0.31047348,28.5682,-0.09926772,7.1429,85.7143,0.071429,0.857143,-1,278.3907,280.7908,283.191,4.8003,-1.0,519823836.9004,0.00327748,279.49666547,283.80934243,279.02602854,283.05053711,2492800.0,0.0,0.0,3.20803833,0.01146373,0.25785797,58,,,,,,
COST,2020-01-09,282.4484,0.03221107,0.00176563,-0.5619,-1.0337,0.4718,-1,-1,1,280.3486,-1,1.01883084,1.2306,1,1.12936779,79.6883,-1,0.2064682,55.9496,69.8047,0.58474507,0.23850751,0.72820494,0.16867489,29.1565,0.02017732,100.0,78.5714,1.0,0.785714,1,276.4463,282.3148,288.1834,11.7371,-1.0,519186743.5472,-0.0012271,286.75808797,290.03340591,285.95126917,287.59375,3261200.0,0.0,0.0,4.54321289,0.01605089,0.35950894,60,,,,,,
COST,2020-01-10,282.5935,0.03299228,0.00051346,-0.295,-0.8859,0.5909,-1,-1,1,172.8627,-1,-0.62179927,0.657,1,-0.87305936,63.3541,0,-0.25782388,68.6185,78.0204,0.72165582,0.18462805,0.81587068,0.10530195,28.8593,-0.01029824,92.8571,71.4286,0.928571,0.714286,1,277.413,283.3738,289.3345,11.9215,0.0,517812286.7601,-0.00265435,288.15081376,288.41013894,284.94273822,285.49981689,2024200.0,0.0,0.0,-2.09393311,-0.00728087,0.19586729,62,,,,,,
COST,2020-01-13,283.147,0.03597229,0.00195481,0.1191,-0.6849,0.804,1,-1,1,192.0451,-1,0.09988487,0.8509,1,0.22787637,72.007,-1,0.12016748,74.73,76.3649,0.78770182,0.08178108,0.79820565,-0.02167881,28.7698,-0.0031109,85.7143,64.2857,0.857143,0.642857,1,278.8315,284.9227,291.0139,12.1824,0.0,518728344.4561,0.00176597,285.19244435,288.77510028,285.07715941,288.02590942,1778600.0,0.0,0.0,2.52609253,0.00884797,0.16337708,60,,,,,,
COST,2020-01-14,283.59,0.03835738,0.00156211,0.4329,-0.4614,0.8943,1,-1,1,177.5677,-1,-0.08153172,2.6998,1,0.68482851,71.0502,-1,-0.01346653,76.8896,76.2835,0.81104027,0.02808702,0.79733707,-0.00106707,28.863,0.00322905,78.5714,57.1429,0.785714,0.571429,1,282.701,286.5371,290.3731,7.6721,0.0,518680061.4148,-9.309e-05,287.43042371,289.11130339,286.78687403,287.91067505,1459900.0,0.0,0.0,-0.11523438,-0.00040008,0.12121653,60,,,,,,
