tickers,P/E,P/B
CURI,-11.8909,12.8494
SURF,,
ELMS,,
SOFI,,
TDACU,,
SMFR,,
GMDA,,
SINO,-2.3913,6.3617
CMLS,-4.0444,0.6075
APM,12.9496,2.1875
BIDU,16.5751,2.0388
LQDA,-1.4529,1.2215
CYAD,-2.7872,1.5471
WYNN,-5.502,-32.3128
PTE,-1.5439,2.4201
IMAC,,
OTIC,-2.2682,1.5311
XELB,-3.6235,0.5466
ENVB,,
CREG,11.7783,0.5177
HGBL,,
LOAN,16.7965,2.2224
TUEM,-1.871,44.8736
RMTI,-2.217,2.0042
SCOR,-6.8765,1.439
LYRA,-3.7839,1.124
BXRX,,
PESI,24.4359,2.0439
MINM,,
AUTL,,
CRCT,49.0723,33.1353
PRTH,16.4824,-4.2912
MOXC,4745.2126,860.9684
SGMO,-11.489,2.7901
NFE,-34.3955,17.0728
GENE,-12.1893,5.7119
CWBR,-4.2879,3.7724
CRDF,-10.8987,1.6419
ARKR,-11.9713,1.5364
ZSAN,-2.5811,1.8127
GANX,-26.5572,15.3209
GURE,-6.2916,0.1912
BCOV,-80.5296,5.8807
NXTP,,
YELL,-4.9836,-1.194
CTRM,,
VERY,-4.6774,0.5996
XNET,-17.605,0.834
SLNO,-2.9458,1.5935
PNT,,
BEEM,,
PLUG,-26.1253,10.6173
EPZM,-2.9259,4.5568
TUSK,-1.5877,0.3033
AWH,-28.038,51.6535
SGMS,-10.4115,-2.233
BOXL,-7.0255,1.5472
NEXT,-28.1251,6.6687
PHIO,-2.7703,1.8715
REAX,,
GNLN,-21.9922,21.1922
HRTX,-5.5421,5.3262
OCUP,-2.8816,-5.2681
PMTS,10.6595,-1.2455
XGN,-11.5198,4.5945
BLUE,-2.7743,1.2667
RSLS,-2.6293,6.9516
VSTM,-8.6208,5.0649
NERV,40.5033,1.4927
IMBI,-10.2277,5.0038
VECT,-5.2432,9.7492
AYTU,-8.0126,1.1486
APDN,-3.0916,7.0433
FAT,,
RRGB,-1.4933,3.4152
SFET,,
PHUN,-3.6045,-40.433
RKDA,-11.189,1.8786
INNV,86.9476,22.6185
SNCR,-23.3848,5.7822
EVGO,,
MICT,-9.7119,3.5978
