,COST,COST,COST,COST,COST,COST,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,ASML,ASML,ASML,ASML,ASML,ASML
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,314.8500061035156,318.7900085449219,313.5400085449219,318.20001220703125,306.2763977050781,1438000,88.5,90.51000213623047,88.26000213623047,89.93000030517578,87.4593276977539,8576600,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,80.33575439453125,94747600,314.95001220703125,318.3699951171875,314.0199890136719,317.25,313.5167541503906,742200
2020-02-14,318.8699951171875,319.80999755859375,316.95001220703125,318.30999755859375,306.38226318359375,1113400,90.18000030517578,90.41000366210938,88.98999786376953,89.27999877929688,86.82717895507812,5686900,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,80.35553741455078,80113600,317.3699951171875,319.2200012207031,314.510009765625,316.29998779296875,312.5779113769531,661400
2020-02-18,319.0,323.4800109863281,318.6099853515625,322.04998779296875,309.98211669921875,1547100,89.37000274658203,89.47000122070312,88.29000091552734,89.2300033569336,86.77854919433594,5288800,78.83999633789062,79.9375,78.65249633789062,79.75,78.88419342041016,152531200,307.3999938964844,310.2099914550781,306.8900146484375,309.17999267578125,305.5417175292969,757100
2020-02-19,322.0799865722656,324.5299987792969,321.7300109863281,323.0199890136719,310.91571044921875,1413600,89.48999786376953,90.44000244140625,89.30000305175781,90.13999938964844,87.6635513305664,5210800,80.0,81.14250183105469,80.0,80.90499877929688,80.02664947509766,93984000,311.1499938964844,317.6300048828125,311.0,317.3900146484375,313.6551208496094,1093900
2020-02-20,322.32000732421875,325.07000732421875,321.010009765625,324.0799865722656,311.93597412109375,1427500,89.7300033569336,90.25,87.7300033569336,88.5999984741211,86.16586303710938,5969200,80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,79.20565032958984,100566000,315.8500061035156,316.5799865722656,310.44000244140625,313.4700012207031,309.78125,1118400
2020-02-21,322.55999755859375,325.260009765625,321.0299987792969,321.95001220703125,309.8858642578125,2239000,88.0,88.38999938964844,87.0,87.36000061035156,84.95993041992188,5800500,79.65499877929688,80.11250305175781,77.625,78.26249694824219,77.412841796875,129554000,310.20001220703125,310.8299865722656,304.7300109863281,306.0,302.3991394042969,1134600
2020-02-24,315.5,320.0,313.260009765625,313.6199951171875,301.86798095703125,2300400,84.52999877929688,86.05000305175781,84.26000213623047,84.5199966430664,82.19793701171875,8313600,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,73.7356948852539,222195200,289.04998779296875,295.2300109863281,288.2699890136719,290.3999938964844,286.98272705078125,1347400
2020-02-25,315.0,316.57000732421875,304.3999938964844,304.8699951171875,293.44586181640625,2881800,85.0199966430664,85.3499984741211,81.66999816894531,82.19000244140625,79.93195343017578,9404000,75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,71.23810577392578,230673600,295.54998779296875,295.92999267578125,284.44000244140625,284.5899963378906,281.2410888671875,1166700
2020-02-26,307.54998779296875,311.29998779296875,304.67999267578125,305.69000244140625,294.23516845703125,2236000,82.5999984741211,83.23999786376953,80.63999938964844,80.66999816894531,78.45372772216797,10541500,71.63249969482422,74.47000122070312,71.625,73.1624984741211,72.36820220947266,198054800,289.45001220703125,292.30999755859375,285.5899963378906,286.32000732421875,282.95074462890625,861100
2020-02-27,301.9800109863281,305.0,293.0,293.1300048828125,282.14581298828125,3625300,78.83000183105469,80.87000274658203,77.36000061035156,78.29000091552734,76.13910675048828,17120800,70.2750015258789,71.5,68.23999786376953,68.37999725341797,67.63763427734375,320605600,278.8599853515625,286.8500061035156,275.8699951171875,277.2300109863281,273.9677429199219,1373900
2020-02-28,285.25,287.3299865722656,271.2799987792969,281.1400146484375,270.6051025390625,7091800,76.16999816894531,78.80999755859375,75.72000122070312,78.43000030517578,76.27525329589844,19108600,64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,67.59806823730469,426510000,267.80999755859375,277.4599914550781,265.9800109863281,276.7099914550781,273.45379638671875,1647400
2020-03-02,294.44000244140625,309.510009765625,291.3800048828125,309.1400146484375,297.55584716796875,7563800,77.91999816894531,82.41000366210938,77.66000366210938,82.37999725341797,80.11674499511719,14258700,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,73.89149475097656,341397200,279.6199951171875,287.489990234375,275.4700012207031,287.489990234375,284.10693359375,1081300
2020-03-03,309.1400146484375,314.1700134277344,301.0299987792969,302.7300109863281,291.3860778808594,5131400,82.30000305175781,82.62000274658203,78.11000061035156,78.5999984741211,76.44058227539062,12395900,75.9175033569336,76.0,71.44999694824219,72.33000183105469,71.54474639892578,319475600,292.92999267578125,296.8500061035156,282.2200012207031,284.29998779296875,280.9544982910156,1916300
2020-03-04,308.2900085449219,320.9700012207031,305.0199890136719,320.739990234375,308.72119140625,4219300,79.29000091552734,80.19999694824219,77.87999725341797,79.66999816894531,77.4811782836914,10999600,74.11000061035156,75.8499984741211,73.28250122070312,75.68499755859375,74.86331939697266,219178400,292.3900146484375,301.989990234375,289.9800109863281,301.6099853515625,298.060791015625,1289500
2020-03-05,315.7699890136719,324.510009765625,313.20001220703125,315.760009765625,303.9278259277344,6407700,77.9000015258789,77.9000015258789,75.27999877929688,76.19000244140625,74.09681701660156,12545300,73.87999725341797,74.88749694824219,72.85250091552734,73.2300033569336,72.43497467041016,187572800,291.0400085449219,295.94000244140625,286.0400085449219,288.25,284.8580322265625,1453900
2020-03-06,312.1400146484375,317.489990234375,302.75,311.3399963378906,299.67340087890625,6185500,73.45999908447266,75.70999908447266,72.05000305175781,75.33999633789062,73.27014923095703,18080100,70.5,72.70500183105469,70.30750274658203,72.25749969482422,71.47303771972656,226176800,284.4599914550781,288.239990234375,281.2900085449219,288.1099853515625,284.71966552734375,1148400
2020-03-09,295.8500061035156,310.3299865722656,293.0,301.9800109863281,290.6641845703125,5203100,70.58000183105469,74.02999877929688,70.08000183105469,70.83000183105469,68.8840560913086,15930300,65.9375,69.52249908447266,65.75,66.5425033569336,65.82007598876953,286744800,265.45001220703125,276.3699951171875,263.8599853515625,263.9100036621094,260.8044738769531,1759600
2020-03-10,307.9700012207031,309.7300109863281,294.4200134277344,309.3999938964844,297.8061218261719,4245500,72.55999755859375,74.94999694824219,70.02999877929688,74.87000274658203,72.81307220458984,18414000,69.28500366210938,71.61000061035156,67.34249877929688,71.33499908447266,70.56053924560547,285290000,277.989990234375,280.3500061035156,265.0,279.760009765625,276.4679260253906,1699200
2020-03-11,300.8599853515625,307.7900085449219,294.19000244140625,297.42999267578125,286.28466796875,3622700,72.83000183105469,74.2699966430664,67.4000015258789,68.30000305175781,66.42357635498047,17138000,69.34750366210938,70.30500030517578,67.96499633789062,68.85749816894531,68.10993957519531,255598800,272.510009765625,274.3299865722656,260.55999755859375,264.1400146484375,261.03173828125,1175900
2020-03-12,280.44000244140625,295.6300048828125,276.3399963378906,279.8500061035156,269.3634338378906,7307600,62.95000076293945,66.79000091552734,61.459999084472656,62.099998474121094,60.39390182495117,25170600,63.98500061035156,67.5,62.0,62.057498931884766,61.38376998901367,418474000,245.4199981689453,254.86000061035156,237.5500030517578,240.75,237.91697692871094,2779800
2020-03-13,288.8299865722656,303.25,278.2699890136719,302.2699890136719,290.94329833984375,6100100,65.6500015258789,70.18000030517578,63.5099983215332,69.91999816894531,67.99905395507812,19247200,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,68.73804473876953,370732000,257.05999755859375,257.8599853515625,233.83999633789062,256.95001220703125,253.9263458251953,2637200
2020-03-16,281.8299865722656,299.5299987792969,279.510009765625,283.17999267578125,272.568603515625,5465500,60.630001068115234,63.95000076293945,58.11000061035156,58.59000015258789,56.98033142089844,23354300,60.48749923706055,64.7699966430664,60.0,60.5525016784668,59.89510726928711,322423600,220.64999389648438,248.2100067138672,209.6199951171875,229.36000061035156,226.6610107421875,1496800
2020-03-17,289.0,307.19000244140625,286.29998779296875,306.989990234375,295.4864196777344,7170600,59.54999923706055,59.619998931884766,53.61000061035156,58.97999954223633,57.359615325927734,25045200,61.877498626708984,64.40249633789062,59.599998474121094,63.21500015258789,62.52870178222656,324056000,231.5500030517578,239.97999572753906,225.02000427246094,238.33999633789062,235.53533935546875,1642500
