State,Date,New Cases,Case 7-Day Moving Avg,Historic Cases
United States,Jun 18 2021,11723,11518,0
United States,Jun 17 2021,13444,11805,0
United States,Jun 16 2021,13532,12204,0
United States,Jun 15 2021,13139,13012,0
United States,Jun 14 2021,8391,13191,0
United States,Jun 13 2021,8427,13451,0
United States,Jun 12 2021,11974,13785,0
United States,Jun 11 2021,13728,14139,0
United States,Jun 10 2021,16238,14801,1
United States,Jun  9 2021,19189,15170,464
United States,Jun  8 2021,14390,14822,0
United States,Jun  7 2021,10212,14087,0
United States,Jun  6 2021,10768,13915,0
United States,Jun  5 2021,14451,14044,0
United States,Jun  4 2021,18360,14204,0
United States,Jun  3 2021,18823,14486,0
United States,Jun  2 2021,16756,14905,0
United States,Jun  1 2021,9242,15883,0
United States,May 31 2021,9010,18016,1
United States,May 30 2021,11667,19002,0
United States,May 29 2021,15574,19493,0
United States,May 28 2021,20334,20345,0
United States,May 27 2021,21753,21410,0
United States,May 26 2021,23603,22226,0
United States,May 25 2021,24174,22875,0
United States,May 24 2021,15909,23528,0
United States,May 23 2021,15107,24096,0
United States,May 22 2021,21537,24866,0
United States,May 21 2021,27793,25861,0
United States,May 20 2021,27462,26671,0
United States,May 19 2021,28149,27833,0
United States,May 18 2021,28740,28867,0
United States,May 17 2021,19890,29697,0
United States,May 16 2021,20494,30403,0
United States,May 15 2021,28505,31232,42
United States,May 14 2021,33457,32278,0
United States,May 13 2021,35598,33737,0
United States,May 12 2021,35385,34797,0
United States,May 11 2021,34552,36253,0
United States,May 10 2021,24831,37671,0
United States,May  9 2021,26300,38912,0
United States,May  8 2021,35825,40211,0
United States,May  7 2021,43671,41842,0
United States,May  6 2021,43020,43452,0
United States,May  5 2021,45574,45395,0
United States,May  4 2021,44478,46898,0
United States,May  3 2021,33517,48032,0
United States,May  2 2021,35398,48912,0
United States,May  1 2021,47237,49523,0
United States,Apr 30 2021,54943,50167,0
United States,Apr 29 2021,56624,51439,0
United States,Apr 28 2021,56094,52059,0
United States,Apr 27 2021,52417,53253,0
United States,Apr 26 2021,39675,54515,-9005
United States,Apr 25 2021,39672,53825,0
United States,Apr 24 2021,51747,54987,0
United States,Apr 23 2021,63845,58115,0
United States,Apr 22 2021,60966,59105,0
United States,Apr 21 2021,64451,61047,0
United States,Apr 20 2021,61255,62329,0
United States,Apr 19 2021,34839,64251,0
United States,Apr 18 2021,47812,67965,0
United States,Apr 17 2021,73641,68281,0
United States,Apr 16 2021,70773,67170,0
United States,Apr 15 2021,74560,68380,0
United States,Apr 14 2021,73427,68564,0
United States,Apr 13 2021,74709,69403,0
United States,Apr 12 2021,60834,68236,0
United States,Apr 11 2021,50024,67678,0
United States,Apr 10 2021,65863,66824,0
United States,Apr  9 2021,79245,66301,72
United States,Apr  8 2021,75849,64896,0
United States,Apr  7 2021,79299,64600,0
United States,Apr  6 2021,66538,63654,0
United States,Apr  5 2021,56928,63226,0
United States,Apr  4 2021,44051,63315,0
United States,Apr  3 2021,62201,64391,0
United States,Apr  2 2021,69409,64374,0
United States,Apr  1 2021,73774,65431,0
United States,Mar 31 2021,72677,64370,0
United States,Mar 30 2021,63546,63789,0
United States,Mar 29 2021,57551,63188,0
United States,Mar 28 2021,51583,61987,0
United States,Mar 27 2021,62084,60817,0
United States,Mar 26 2021,76804,59995,0
United States,Mar 25 2021,66349,57782,0
United States,Mar 24 2021,68611,57267,0
United States,Mar 23 2021,59338,56346,0
United States,Mar 22 2021,49143,55613,0
United States,Mar 21 2021,43396,54791,0
United States,Mar 20 2021,56326,54595,0
United States,Mar 19 2021,61312,54035,0
United States,Mar 18 2021,62745,54156,0
United States,Mar 17 2021,62165,53701,0
United States,Mar 16 2021,54208,53195,0
United States,Mar 15 2021,43387,53191,0
United States,Mar 14 2021,42024,53037,0
United States,Mar 13 2021,52404,53014,0
United States,Mar 12 2021,62162,53447,0
United States,Mar 11 2021,59557,53432,0
United States,Mar 10 2021,58629,54152,0
United States,Mar  9 2021,54178,55161,891
United States,Mar  8 2021,42306,55222,0
United States,Mar  7 2021,41863,56410,0
United States,Mar  6 2021,55436,57420,0
United States,Mar  5 2021,62055,58911,0
United States,Mar  4 2021,64599,60217,0
United States,Mar  3 2021,65690,60962,0
United States,Mar  2 2021,54606,61915,0
United States,Mar  1 2021,50626,64342,0
United States,Feb 28 2021,48934,64992,0
United States,Feb 27 2021,65870,65435,0
United States,Feb 26 2021,71199,65183,0
United States,Feb 25 2021,69813,65004,0
United States,Feb 24 2021,72357,64957,0
United States,Feb 23 2021,71600,64143,0
United States,Feb 22 2021,55172,62034,0
United States,Feb 21 2021,52036,62081,0
United States,Feb 20 2021,64107,63537,0
United States,Feb 19 2021,69944,65924,0
United States,Feb 18 2021,69483,69432,0
United States,Feb 17 2021,66665,73426,0
United States,Feb 16 2021,56831,78236,0
United States,Feb 15 2021,55506,83319,0
United States,Feb 14 2021,62226,86691,0
United States,Feb 13 2021,80817,89509,0
United States,Feb 12 2021,94500,93097,0
United States,Feb 11 2021,97439,97005,0
United States,Feb 10 2021,100337,100674,0
United States,Feb  9 2021,92412,102986,0
United States,Feb  8 2021,79106,106268,0
United States,Feb  7 2021,81954,112562,0
United States,Feb  6 2021,105936,115459,0
United States,Feb  5 2021,121851,119206,0
United States,Feb  4 2021,123127,124610,0
United States,Feb  3 2021,116521,129541,0
United States,Feb  2 2021,115387,136343,0
United States,Feb  1 2021,123164,140838,0
United States,Jan 31 2021,102228,140643,0
United States,Jan 30 2021,132170,145285,0
United States,Jan 29 2021,159674,149758,0
United States,Jan 28 2021,157644,154209,0
United States,Jan 27 2021,164140,159877,0
United States,Jan 26 2021,146852,164086,0
United States,Jan 25 2021,121798,164151,0
United States,Jan 24 2021,134722,166885,0
United States,Jan 23 2021,163479,170947,0
United States,Jan 22 2021,190828,176890,0
United States,Jan 21 2021,197321,182432,0
United States,Jan 20 2021,193604,186857,0
United States,Jan 19 2021,147309,193536,584
United States,Jan 18 2021,140936,202526,0
United States,Jan 17 2021,163153,209689,0
United States,Jan 16 2021,205082,216044,0
United States,Jan 15 2021,229621,221815,0
United States,Jan 14 2021,228294,230912,0
United States,Jan 13 2021,240359,239527,0
United States,Jan 12 2021,210239,247387,0
United States,Jan 11 2021,191081,252728,0
United States,Jan 10 2021,207633,253688,0
United States,Jan  9 2021,245484,249627,0
United States,Jan  8 2021,293295,243534,0
United States,Jan  7 2021,288600,232623,0
United States,Jan  6 2021,295377,231209,0
United States,Jan  5 2021,247628,228476,0
United States,Jan  4 2021,197801,225006,0
United States,Jan  3 2021,179208,223534,0
United States,Jan  2 2021,202831,215015,0
United States,Jan  1 2021,216919,205985,0
United States,Dec 31 2020,278699,197338,0
United States,Dec 30 2020,276251,188688,0
United States,Dec 29 2020,223339,183973,0
United States,Dec 28 2020,187494,180222,0
United States,Dec 27 2020,119574,177857,0
United States,Dec 26 2020,139623,186385,0
United States,Dec 25 2020,156392,195585,0
United States,Dec 24 2020,218145,207523,0
United States,Dec 23 2020,243247,211090,0
United States,Dec 22 2020,197080,210418,0
United States,Dec 21 2020,170939,210606,0
United States,Dec 20 2020,179272,213462,0
United States,Dec 19 2020,204026,214293,0
United States,Dec 18 2020,239956,217114,0
United States,Dec 17 2020,243115,219128,0
United States,Dec 16 2020,238544,216500,0
United States,Dec 15 2020,198394,215793,0
United States,Dec 14 2020,190929,220361,0
United States,Dec 13 2020,185090,219612,0
United States,Dec 12 2020,223772,218574,0
United States,Dec 11 2020,254055,217118,0
United States,Dec 10 2020,224719,215263,0
United States,Dec  9 2020,233595,217619,0
United States,Dec  8 2020,230369,216851,0
United States,Dec  7 2020,185686,213617,0
United States,Dec  6 2020,177828,209815,0
United States,Dec  5 2020,213577,204796,0
United States,Dec  4 2020,241069,194466,0
United States,Dec  3 2020,241213,183939,0
United States,Dec  2 2020,228221,171456,0
United States,Dec  1 2020,207728,167922,0
United States,Nov 30 2020,159070,164176,0
United States,Nov 29 2020,142695,164707,0
United States,Nov 28 2020,141271,166267,0
United States,Nov 27 2020,167378,171223,0
United States,Nov 26 2020,153834,175914,0
United States,Nov 25 2020,203481,182183,0
United States,Nov 24 2020,181504,179685,0
United States,Nov 23 2020,162791,178610,0
United States,Nov 22 2020,153615,176957,0
United States,Nov 21 2020,175958,174822,0
United States,Nov 20 2020,200215,173390,0
United States,Nov 19 2020,197718,171203,0
United States,Nov 18 2020,185997,167096,0
United States,Nov 17 2020,173982,163682,0
United States,Nov 16 2020,151216,161034,0
United States,Nov 15 2020,138670,157254,0
United States,Nov 14 2020,165933,153083,0
United States,Nov 13 2020,184907,148211,0
United States,Nov 12 2020,168971,141834,0
United States,Nov 11 2020,162098,136248,0
United States,Nov 10 2020,155448,130327,0
United States,Nov  9 2020,124754,123064,0
United States,Nov  8 2020,109476,117727,0
United States,Nov  7 2020,131827,112905,0
United States,Nov  6 2020,140268,107325,0
United States,Nov  5 2020,129867,101426,0
United States,Nov  4 2020,120649,96236,0
United States,Nov  3 2020,104611,91530,0
United States,Nov  2 2020,87393,88004,0
United States,Nov  1 2020,75723,85479,67475
United States,Oct 31 2020,92766,83551,0
United States,Oct 30 2020,98975,80875,0
United States,Oct 29 2020,93535,78218,0
