Ticker,Date,Volume,Close,Low,BBANDS_compare_high_low_price,ADX_fluc_pctg,MACD_Hist,Historic Deaths,BBANDS_Middle_Band,Historic Cases,ADX,High,RSI_5,AROON_Up,MACD_Signal,Open,ROC_10_polarize,MACD_polarize,Chaikin_AD,BBANDS_Upper_Band,BBANDS_width,Dividends,MACD,STOCH_SlowK_min_max,Case 7-Day Moving Avg,RSI_5_polarize,STOCH_SlowD,Death 7-Day Moving Avg,Close_Change_pctg,CCI_20_polarize,STOCH_SlowK,New Cases,SMA_10_fluc_pctg,daily_trend,AROON_Up_min_max,STOCH_SlowD_min_max,AROON_Down,STOCH_SlowD_fluc_pctg,SMA_10_min_max,Volume_min_max,STOCH_SlowK_fluc_pctg
CMCSA,2020-05-22,12383000.0,37.64038467,37.37804805,0.0,0.01979229,0.3579,0.0,37.5317,0.0,22.7121,37.89300306,70.6964,85.7143,0.027,37.57236818,1,1,3096690270.9404,38.3441,1.6248,0.0,0.3849,0.93443688,24329.0,-1,92.8483,1228.0,-0.00539156,0,90.4222,26700.0,0.00598722,81,0.857143,0.99370529,57.1429,0.00644309,0.10540077,0.13641108,-0.038031
CMCSA,2020-05-26,21584900.0,38.39824677,38.28165394,-1.0,0.07608279,0.3864,0.0,37.8095,0.0,24.4401,38.99093284,78.1353,100.0,0.1236,38.33023397,1,1,3082201711.3145,38.6609,1.7027,0.0,0.51,0.8625724,22189.0,-1,89.3466,1084.0,0.02013428,-1,83.6205,15624.0,0.00904797,92,1.0,0.95434425,50.0,-0.03771421,0.11752297,0.28395285,-0.07522157
CMCSA,2020-05-27,20654900.0,38.79661179,38.49540961,-1.0,0.0776879,0.4083,0.0,38.1437,0.0,26.3388,39.32128511,81.2609,100.0,0.2257,38.50512784,1,1,3076612716.7221,38.964,1.6405,0.0,0.6339,0.79074701,21636.0,-1,83.6217,1085.0,0.01037456,-1,76.8225,21834.0,0.01222501,92,1.0,0.88999321,42.8571,-0.06407519,0.13404987,0.26904138,-0.08129585
CMCSA,2020-05-28,18254000.0,38.42739105,38.32051276,0.0,0.04714338,0.375,0.0,38.2176,0.0,27.5805,38.9909298,69.715,92.8571,0.3194,38.83547148,1,1,3064178398.084,39.0586,1.682,0.0,0.6944,0.70180842,21601.0,0,76.2826,1097.0,-0.00951683,-1,68.4048,26011.0,0.01207465,89,0.928571,0.80749767,35.7143,-0.0877655,0.15057306,0.23054574,-0.10957337
CMCSA,2020-05-29,20298700.0,38.47597122,37.69867959,0.0,-0.01683436,0.3346,0.0,38.3439,0.0,27.1162,38.68972781,70.4066,85.7143,0.4031,38.43710942,1,1,3075722470.7314005,39.1065,1.5253,0.0,0.7377,0.62533308,21333.0,-1,68.798,983.0,0.00126421,0,61.1667,24820.0,0.01000518,88,0.857143,0.72336664,28.5714,-0.09811674,0.16442965,0.26333013,-0.10581275
CMCSA,2020-06-01,13350600.0,39.03951645,38.28165744,-1.0,0.00783296,0.3241,0.0,38.6237,0.0,27.3286,39.126962,77.7679,78.5714,0.4841,38.41768304,1,1,3086311700.8686,39.1247,1.0021,0.0,0.8082,0.65926471,21411.0,-1,64.6499,958.0,0.01464668,0,64.3782,16764.0,0.01098933,60,0.785714,0.6767397,21.4286,-0.0602939,0.17980153,0.15192542,0.05250406
CMCSA,2020-06-02,19060100.0,39.6224823,38.98121616,0.0,0.03329479,0.3333,0.0,38.8685,0.0,28.2385,39.67106604,83.1787,100.0,0.5674,38.99093439,1,1,3102687272.0094,39.7409,1.7448,0.0,0.9007,0.81259786,22232.0,-1,68.1452,961.0,0.01493271,-1,78.8906,21372.0,0.00686228,69,1.0,0.7160288,14.2857,0.05406505,0.18950598,0.24347062,0.22542413
CMCSA,2020-06-03,17141900.0,40.12772369,39.82652523,0.0,0.05856543,0.3486,0.0,39.1347,0.0,29.8923,40.39977858,86.6884,100.0,0.6545,39.98198358,1,1,3103558892.9768,40.4513,2.6332,0.0,1.0032,0.93032684,22403.0,-1,77.7673,919.0,0.01275138,-1,90.0332,23027.0,0.00783015,100,1.0,0.82418652,7.1429,0.14119997,0.20065513,0.21271451,0.14124116
CMCSA,2020-06-04,12756500.0,40.11801147,39.68078369,0.0,0.03605945,0.3334,0.0,39.4728,0.0,30.9702,40.20545703,86.2557,92.8571,0.7379,39.80709476,1,1,3112063282.98,40.7529,2.5603,0.0,1.0713,0.9547462,22017.0,-1,87.0894,876.0,-0.00024203,-1,92.3444,23310.0,0.00533137,70,0.928571,0.92897207,0.0,0.11987172,0.20830579,0.14239972,0.02567053
CMCSA,2020-06-05,20271600.0,40.895298,40.79813793,-1.0,0.08216285,0.3492,0.0,39.9566,0.0,33.5148,41.87662806,90.8313,100.0,0.8252,40.93416352,1,1,3095444194.0075,41.1858,2.4584,0.0,1.1744,0.86728363,22080.0,-1,88.8147,855.0,0.019375,-1,84.0664,25258.0,0.00785168,64,1.0,0.9483654,0.0,0.01981068,0.21963321,0.26289561,-0.08964269
