Ticker,Date,Volume,Close,Low,BBANDS_compare_high_low_price,ADX_fluc_pctg,MACD_Hist,Historic Deaths,BBANDS_Middle_Band,Historic Cases,ADX,High,RSI_5,AROON_Up,MACD_Signal,Open,ROC_10_polarize,MACD_polarize,Chaikin_AD,BBANDS_Upper_Band,BBANDS_width,Dividends,MACD,STOCH_SlowK_min_max,Case 7-Day Moving Avg,RSI_5_polarize,STOCH_SlowD,Death 7-Day Moving Avg,Close_Change_pctg,CCI_20_polarize,STOCH_SlowK,New Cases,SMA_10_fluc_pctg,daily_trend,AROON_Up_min_max,STOCH_SlowD_min_max,AROON_Down,STOCH_SlowD_fluc_pctg,SMA_10_min_max,Volume_min_max,STOCH_SlowK_fluc_pctg
FSBC,2021-07-09,8600.0,23.71678352,23.57849384,-1.0,-0.08265313,-0.2802,0,23.7816,0,20.5893,24.48725863,27.3968,28.5714,-0.2331,23.57849384,-1,-1,-479839.2723,24.0477,0.5322,0.0,-0.5133,0.24979239,20071,1,23.4674,193,0.00460256,0,27.6681,29310,-0.01219358,0.0,0.285714,0.17759267,78.5714,0.22239412,0.34533199,0.00384407,0.24520023
FSBC,2021-07-12,61700.0,23.85594177,23.30924387,1.0,-0.05030768,-0.2313,0,23.75,0,19.5535,24.30324144,35.6492,21.4286,-0.2909,23.81618096,-1,-1,-473664.6723,23.9176,0.3352,0.15,-0.5223,0.30682664,24437,0,27.5324,207,0.0058675,0,32.7093,24449,-0.00835176,0.0,0.214286,0.22618679,100.0,0.17321902,0.29006904,0.02785818,0.18220261
FSBC,2021-07-13,185200.0,24.20384216,23.60744322,-1.0,-0.05517682,-0.1637,0,23.8374,0,18.4746,24.35294143,52.5932,14.2857,-0.3318,23.75654248,-1,-1,-362568.6723,24.2398,0.8048,0.0,-0.4955,0.52353008,27150,0,37.4136,225,0.01458339,0,51.8635,35897,-0.00487858,0.0,0.142857,0.34430935,92.8571,0.35889352,0.25805747,0.0837102,0.58558881
FSBC,2021-07-14,97000.0,24.27342033,23.51798197,-1.0,-0.09948795,-0.1053,0,23.9317,106,16.6366,24.65113857,55.5211,7.1429,-0.3582,24.30324094,-1,-1,-330232.3389,24.4583,1.0531,0.0,-0.4634,0.66879137,29513,0,49.7586,236,0.00287467,0,64.703,41216,9.195e-05,0.0,0.071429,0.49188484,85.7143,0.32996023,0.25865786,0.04382236,0.24756332
FSBC,2021-07-15,11600.0,24.54180145,24.22372252,0.0,-0.08896048,-0.0427,0,24.1183,112,15.1566,24.70978577,65.7269,0.0,-0.3688,24.22372252,-1,-1,-326539.2604,24.7116,1.1867,0.0,-0.4116,0.82584258,31255,0,65.0504,251,0.01105658,0,78.5846,42873,0.00286684,0.0,0.0,0.67468719,78.5714,0.30731974,0.27737904,0.0052008,0.21454338
FSBC,2021-07-16,45500.0,24.00504112,23.86588207,0.0,-0.04089308,-0.0322,0,24.1758,42,14.5368,24.4821595,41.7677,0.0,-0.3769,24.35294065,-1,-1,-351481.5507,24.6454,0.9393,0.0,-0.4091,0.72705201,33347,0,71.0467,256,-0.02187127,0,69.8526,43951,-0.00077925,0.0,0.0,0.74636859,71.4286,0.09217929,0.27227574,0.02053184,-0.11111592
FSBC,2021-07-19,15100.0,23.81618118,23.77642227,0.0,-0.02045842,-0.0325,0,24.1678,266,14.2394,24.15414051,35.9966,0.0,-0.385,24.15414051,-1,-1,-363434.1823,24.6597,0.9838,0.0,-0.4175,0.55045764,39197,0,67.5603,270,-0.00786751,0,54.2436,37658,-0.00082573,0.0,0.0,0.70469122,64.2857,-0.04907195,0.26687225,0.00678365,-0.22345625
FSBC,2021-07-20,162900.0,24.0746212,23.70684315,0.0,-0.06996784,-0.011,0,24.142,136,13.2431,24.62032567,48.2318,0.0,-0.3878,24.20384195,-1,-1,-395110.5041,24.6372,0.9904,0.0,-0.3988,0.39468938,41686,0,54.8572,268,0.01085145,0,40.4754,53320,0.00128553,0.0,0.0,0.5528349,57.1429,-0.1880261,0.27527768,0.07362518,-0.25382165
FSBC,2021-07-21,208900.0,23.85594177,23.20984373,1.0,-0.0188702,-0.0074,0,24.0585,184,12.9932,24.27838998,40.1198,7.1429,-0.3896,23.85594177,-1,-1,-351405.5442,24.5773,1.0376,0.0,-0.397,0.36975755,45180,0,44.3302,280,-0.0090834,0,38.2717,65671,0.0002251,0.0,0.071429,0.42699227,100.0,-0.19189824,0.27675136,0.09442836,-0.05444542
FSBC,2021-07-22,26500.0,23.29930305,23.22972353,1.0,-0.01730905,-0.0367,0,23.81,283,12.7683,23.60744176,26.1343,0.0,-0.3988,23.60744176,-1,-1,-368131.6495,24.3548,1.0896,0.0,-0.4354,0.29928385,49242,1,36.9299,284,-0.02333334,1,32.0426,71310,-0.00129193,0.0,0.0,0.33852707,92.8571,-0.16693586,0.26829135,0.01193922,-0.16275995
