Ticker,Date,Volume,Close,Low,ADX_fluc_pctg,Chaikin_AD_fluc_pctg,MACD_Hist,BBANDS_Middle_Band,High,ADX,AROON_Up,Historic Deaths,Historic Cases,MACD_Signal,ROC_10,BBANDS_compare_high_low_price,RSI_5,MACD,SMA_10_fluc_pctg,BBANDS_width,RSI_5_polarize,Open,BBANDS_Upper_Band,MACD_polarize,ROC_10_polarize,Case 7-Day Moving Avg,Dividends,STOCH_SlowK_min_max,Death 7-Day Moving Avg,New Cases,STOCH_SlowD,CCI_20_polarize,daily_trend,STOCH_SlowD_fluc_pctg,STOCH_SlowK,AROON_polarize,Close_Change_pctg,AROON_Down_min_max,STOCH_SlowK_fluc_pctg,AROON_Up_min_max,Volume_min_max,AROON_Down,SMA_10_min_max,STOCH_SlowD_min_max
JBSS,2020-02-11,89000.0,72.14922333,70.4029476,-0.06782676,0.00310257,-0.4128,71.0962,73.18070154,28.6647,42.8571,0.0,0.0,-2.5254,-10.1724,-1.0,43.4263,-2.9382,-0.00507875,3.846,0,70.4029476,73.0192,-1,-1,10.0,0.0,0.29461247,0.0,9.0,12.5961,0,0.0,2.85036987,29.0003,-1,0.02625491,0.928571,2.62884779,0.428571,0.20823179,92.8571,0.3099926,0.12377979
JBSS,2020-02-12,58900.0,71.25346375,71.23537066,-0.06548821,-0.00776611,-0.3097,70.9191,72.81878097,26.7875,35.7143,0.0,0.0,-2.6028,-10.5317,-1.0,37.1418,-2.9126,-0.00603007,3.3966,0,72.14921964,72.6174,-1,-1,10.0,0.0,0.4756759,0.0,8.0,27.7753,0,0.0,1.20507141,46.3339,-1,-0.01241537,0.857143,0.59770416,0.357143,0.12672624,85.7143,0.29119692,0.2855777
JBSS,2020-02-13,37100.0,71.78729248,70.59294904,-0.04569669,0.00454414,-0.1711,70.9517,71.85063552,25.5634,28.5714,0.0,0.0,-2.6456,-11.1136,0.0,43.2589,-2.8168,-0.00974949,3.4956,0,71.22631727,72.6995,-1,-1,11.0,0.0,0.62694057,0.0,6.0,45.383,0,0.0,0.63393375,60.8148,-1,0.00749197,0.785714,0.31253359,0.285714,0.06769564,78.5714,0.26099109,0.47326143
JBSS,2020-02-14,81700.0,72.37541962,71.57919294,-0.0909699,-0.00012434,-0.0137,71.4594,73.18974628,23.2379,21.4286,0.0,0.0,-2.649,-10.8548,-1.0,49.9645,-2.6628,-0.00539976,2.9541,0,71.57919294,72.9364,-1,-1,11.0,0.0,0.68280579,0.0,6.0,57.7705,0,0.0,0.27295463,66.1629,-1,0.00819264,0.714286,0.08794076,0.214286,0.18846466,71.4286,0.24442469,0.60530209
JBSS,2020-02-18,41300.0,71.17204285,70.97298442,-0.06862496,-0.00426901,0.0332,71.6328,72.65592413,21.6432,14.2857,0.0,0.0,-2.6408,-13.0733,-1.0,38.3674,-2.6076,-0.00318578,1.9006,0,72.3482865,72.5831,-1,-1,9.0,0.0,0.59551645,0.0,7.0,61.5948,0,0.0,0.06619815,57.8065,-1,-0.01662687,0.642857,-0.12630039,0.142857,0.07906851,64.2857,0.23470351,0.64606601
JBSS,2020-02-19,32700.0,71.70586395,70.81010809,-0.05988948,0.00039127,0.1189,71.5443,72.45685447,20.347,7.1429,0.0,0.0,-2.611,-12.2564,-1.0,45.3953,-2.4922,-0.00246446,1.7256,0,71.07250262,72.4071,-1,-1,10.0,0.0,0.5157084,0.0,17.0,58.0452,0,0.0,-0.05762824,50.1663,-1,0.00750043,0.571429,-0.13216853,0.071429,0.05578121,57.1429,0.22720737,0.60823017
JBSS,2020-02-20,77600.0,71.72396088,71.09059951,-0.05733523,0.00393396,0.1913,71.6382,72.01349849,19.1804,0.0,0.0,0.0,-2.5632,-8.5592,0.0,45.6579,-2.3719,-0.00058188,1.5251,0,71.7058678,72.4008,-1,-1,11.0,0.0,0.38865189,0.0,14.0,48.6586,0,0.0,-0.16171191,38.0029,-1,0.00025238,0.5,-0.24246157,0.0,0.17736258,50.0,0.22544181,0.50817666
JBSS,2020-02-21,28200.0,71.64252472,71.35298713,-0.07659381,-0.0016349,0.2449,71.6093,72.36637213,17.7113,0.0,0.0,0.0,-2.502,-9.5912,0.0,44.4555,-2.2571,2.525e-05,1.5322,0,71.76014699,72.3754,-1,-1,13.0,0.0,0.41436006,0.0,17.0,42.8777,0,0.0,-0.11880531,40.464,-1,-0.00113541,0.428571,0.06476085,0.0,0.04359599,42.8571,0.22551839,0.44655698
JBSS,2020-02-24,28600.0,70.54771423,69.73338758,0.01397978,0.0008072,0.2187,71.2444,71.08154638,17.9589,0.0,0.0,0.0,-2.4473,-9.7778,1.0,30.8165,-2.2286,0.00100168,1.8099,0,70.81915185,72.1493,-1,-1,17.0,0.0,0.36215505,0.0,19.0,37.9777,0,0.0,-0.11427852,35.4663,-1,-0.01528157,0.357143,-0.12350979,0.0,0.04467912,35.7143,0.22855599,0.39432697
JBSS,2020-02-25,53500.0,68.59333038,67.98711211,0.08551192,-0.00390455,0.0886,70.7294,70.6110505,19.4946,0.0,0.0,0.0,-2.4252,-10.7488,1.0,18.2932,-2.3366,-0.00239377,4.8281,1,70.60200051,73.1435,-1,-1,20.0,0.0,0.25772729,0.0,24.0,33.7998,1,0.0,-0.11000929,25.4692,-1,-0.02770301,1.0,-0.28187603,0.0,0.11210398,100.0,0.22128958,0.34979396
