Ticker,Date,Volume,Close,Low,ADX_fluc_pctg,Chaikin_AD_fluc_pctg,MACD_Hist,BBANDS_Middle_Band,High,ADX,AROON_Up,Historic Deaths,Historic Cases,MACD_Signal,ROC_10,BBANDS_compare_high_low_price,RSI_5,MACD,SMA_10_fluc_pctg,BBANDS_width,RSI_5_polarize,Open,BBANDS_Upper_Band,MACD_polarize,ROC_10_polarize,Case 7-Day Moving Avg,Dividends,STOCH_SlowK_min_max,Death 7-Day Moving Avg,New Cases,STOCH_SlowD,CCI_20_polarize,daily_trend,STOCH_SlowD_fluc_pctg,STOCH_SlowK,AROON_polarize,Close_Change_pctg,AROON_Down_min_max,STOCH_SlowK_fluc_pctg,AROON_Up_min_max,Volume_min_max,AROON_Down,SMA_10_min_max,STOCH_SlowD_min_max
PDCO,2020-02-07,569200.0,21.31729507,21.17766249,-0.05386809,-0.0018884,-0.1126,21.2208,21.98753432,24.6825,14.2857,0.0,0.0,0.4982,5.676,0.0,50.8545,0.3856,-0.00196605,1.685,0,21.76412005,22.0633,1,1,7.0,0.0,0.76103276,0.0,5.0,60.3524,0,52,0.48165497,74.6088,-1,-0.01632312,0.642857,0.2052417,0.142857,0.05551417,64.2857,0.35682937,0.61979192
PDCO,2020-02-10,416000.0,21.25213432,21.07526543,-0.06772004,0.0008599,-0.1134,21.3122,21.32660516,23.011,7.1429,0.0,0.0,0.4698,4.6768,0.0,48.8444,0.3565,-0.00166037,1.4964,0,21.27075248,22.0604,1,1,9.0,0.0,0.59449429,0.0,9.0,65.0547,0,49,0.07791405,58.6516,-1,-0.00305671,0.571429,-0.21387826,0.071429,0.0351337,57.1429,0.3551695,0.67239624
PDCO,2020-02-11,623400.0,21.56863403,21.22420535,-0.02219808,0.00215469,-0.0919,21.508,21.63379579,22.5002,0.0,0.0,0.0,0.4469,6.2844,0.0,58.7447,0.3549,-0.00162554,0.6359,0,21.3638397,21.826,1,1,10.0,0.0,0.53056507,0.0,9.0,61.9288,0,0,-0.04805033,52.5261,-1,0.01489261,0.5,-0.10443875,0.0,0.06272449,50.0,0.35354715,0.63742701
PDCO,2020-02-12,968100.0,21.8758297,21.58725542,0.01436876,0.00403255,-0.0581,21.5752,21.90375693,22.8235,7.1429,0.0,0.0,0.4323,4.1667,0.0,66.5894,0.3742,0.00223994,0.9193,0,21.68034441,22.0348,1,1,10.0,0.0,0.63785407,0.0,8.0,57.9946,0,0,-0.06352779,62.8062,-1,0.0142427,0.428571,0.19571413,0.071429,0.10858055,42.8571,0.35577906,0.59341537
PDCO,2020-02-13,470500.0,21.51278305,21.50347397,-0.00479331,-0.00225728,-0.0611,21.5435,21.89444629,22.7141,0.0,0.0,0.0,0.4171,0.4783,0.0,51.9862,0.356,4.226e-05,0.8793,0,21.81066638,21.9831,1,1,11.0,0.0,0.64396573,0.0,6.0,59.5747,0,100,0.02724564,63.3918,-1,-0.01659579,0.357143,0.00932392,0.0,0.04238393,35.7143,0.35582126,0.61109184
PDCO,2020-02-14,391600.0,21.4196949,20.9263245,-0.09065294,0.00035155,-0.0694,21.564,21.76412185,20.655,14.2857,0.0,0.0,0.3997,-2.9114,1.0,48.5721,0.3303,0.00438047,0.8225,0,21.5593275,21.9752,1,-1,11.0,0.0,0.61249007,0.0,6.0,62.1913,0,52,0.04392133,60.3759,-1,-0.00432711,0.285714,-0.04757555,0.142857,0.03188772,28.5714,0.360196,0.64036358
PDCO,2020-02-18,487700.0,21.42900276,21.2800611,-0.08972162,-0.00062977,-0.0741,21.5994,21.68034249,18.8018,7.1429,0.0,0.0,0.3812,-1.1168,0.0,48.9908,0.3071,0.00296367,0.6678,0,21.36384101,21.9333,1,-1,9.0,0.0,0.50372742,0.0,7.0,57.9074,0,0,-0.06888263,49.9546,-1,0.00043455,0.214286,-0.17260695,0.071429,0.04467208,21.4286,0.36316875,0.59243987
PDCO,2020-02-19,545900.0,21.81066895,21.43831474,-0.07015818,0.00193593,-0.0522,21.6479,21.87583071,17.4827,0.0,0.0,0.0,0.3681,-1.1392,0.0,64.0094,0.3159,0.00569543,0.7798,0,21.44762381,22.0378,1,-1,10.0,0.0,0.6516387,0.0,17.0,58.1525,0,49,0.00423262,64.127,-1,0.01781073,0.142857,0.2837056,0.0,0.05241453,14.2857,0.36889858,0.59518179
PDCO,2020-02-20,639300.0,21.04734039,20.68429352,0.01593003,-0.0011955,-0.0879,21.4819,21.83859235,17.7612,35.7143,0.0,0.0,0.3462,-4.8801,1.0,36.8702,0.2582,-0.002294,0.9772,0,21.76412151,21.9705,1,-1,11.0,0.0,0.58040492,0.0,14.0,57.1277,0,49,-0.01762263,57.3016,1,-0.03499794,0.071429,-0.10643567,0.357143,0.0648397,7.1429,0.36657758,0.58371742
PDCO,2020-02-21,674000.0,21.15904617,20.8332356,0.01411504,0.00037794,-0.1017,21.411,21.41969499,18.0119,28.5714,0.0,0.0,0.3207,-3.441,1.0,41.4141,0.219,-0.00237824,1.0582,0,20.95425182,21.9401,1,-1,13.0,0.0,0.54010305,0.0,17.0,58.2895,0,0,0.02033689,53.44,1,0.00530736,0.0,-0.06739079,0.285714,0.0694559,0.0,0.36417687,0.5967144
